9.3.0,9.4.0,Transition notes - some of these are EMS variable names,,,,,,
ITE Fan Electric Power at Design Inlet Conditions,ITE Fan Electricity Rate at Design Inlet Conditions,,,,,,,
ITE CPU Electric Energy,ITE CPU Electricity Energy,,,,,,,
ITE Fan Electric Energy,ITE Fan Electricity Energy,,,,,,,
ITE UPS Electric Energy,ITE UPS Electricity Energy,,,,,,,
ITE CPU Electric Energy at Design Inlet Conditions,ITE CPU Electricity Energy at Design Inlet Conditions,,,,,,,
ITE Fan Electric Energy at Design Inlet Conditions,ITE Fan Electricity Energy at Design Inlet Conditions,,,,,,,
Zone ITE CPU Electric Power,Zone ITE CPU Electricity Rate,,,,,,,
Zone ITE Fan Electric Power,Zone ITE Fan Electricity Rate,,,,,,,
Zone ITE UPS Electric Power,Zone ITE UPS Electricity Rate,,,,,,,
Zone ITE CPU Electric Power at Design Inlet Conditions,Zone ITE CPU Electricity Rate at Design Inlet Conditions,,,,,,,
Zone ITE Fan Electric Power at Design Inlet Conditions,Zone ITE Fan Electricity Rate at Design Inlet Conditions,,,,,,,
Zone ITE CPU Electric Energy,Zone ITE CPU Electricity Energy,,,,,,,
Zone ITE Fan Electric Energy,Zone ITE Fan Electricity Energy,,,,,,,
Zone ITE UPS Electric Energy,Zone ITE UPS Electricity Energy,,,,,,,
Zone ITE CPU Electric Energy at Design Inlet Conditions,Zone ITE CPU Electricity Energy at Design Inlet Conditions,,,,,,,
Zone ITE Fan Electric Energy at Design Inlet Conditions,Zone ITE Fan Electricity Energy at Design Inlet Conditions,,,,,,,
Zone Baseboard Electric Power,Zone Baseboard Electricity Rate,,,,,,,
Zone Baseboard Electric Energy,Zone Baseboard Electricity Energy,,,,,,,
Zone Radiant HVAC Pump Electric Power,Zone Radiant HVAC Pump Electricity Rate,,,,,,,
Zone Radiant HVAC Pump Electric Energy,Zone Radiant HVAC Pump Electricity Energy,,,,,,,
Generator Standby Electric Power,Generator Standby Electricity Rate,,,,,,,
Generator Ancillary Electric Power,Generator Ancillary Electricity Rate,,,,,,,
Generator Ancillary Electric Energy,Generator Ancillary Electricity Energy,,,,,,,
Zone Outdoor Air Unit Fan Electric Power,Zone Outdoor Air Unit Fan Electricity Rate,,,,,,,
Zone Outdoor Air Unit Fan Electric Energy,Zone Outdoor Air Unit Fan Electricity Energy,,,,,,,
InteriorEquipment:Gas,InteriorEquipment:NaturalGas,,,,,,,
ExteriorEquipment:Gas,ExteriorEquipment:NaturalGas,,,,,,,
Heating:Gas,Heating:NaturalGas,,,,,,,
Cooling:Gas,Cooling:NaturalGas,,,,,,,
WaterSystems:Gas,WaterSystems:NaturalGas,,,,,,,
Cogeneration:Gas,Cogeneration:NaturalGas,,,,,,,
Humidifier:Gas,Humidifier:NaturalGas,,,,,,,
Air System Humidifier Gas Energy,Air System Humidifier Natural Gas Energy,,,Air System Humidifier NaturalGas and Propane are not separate output variables.,,,,
Generator Produced DC Electric Energy,Generator Produced DC Electricity Energy,,,,,,,
Zone Packaged Terminal Heat Pump Electric Power,Zone Packaged Terminal Heat Pump Electricity Rate,,,,,,,
Zone Packaged Terminal Heat Pump Electric Energy,Zone Packaged Terminal Heat Pump Electricity Energy,,,,,,,
Zone Packaged Terminal Air Conditioner Electric Power,Zone Packaged Terminal Air Conditioner Electricity Rate,,,,,,,
Zone Packaged Terminal Air Conditioner Electric Energy,Zone Packaged Terminal Air Conditioner Electricity Energy,,,,,,,
Zone Water to Air Heat Pump Electric Power,Zone Water to Air Heat Pump Electricity Rate,,,,,,,
Zone Water to Air Heat Pump Electric Energy,Zone Water to Air Heat Pump Electricity Energy,,,,,,,
Cooling Coil Cold Weather Protection Electric Energy,Cooling Coil Cold Weather Protection Electricity Energy,,,,,,,
Cooling Coil Cold Weather Protection Electric Power,Cooling Coil Cold Weather Protection Electricity Rate,,,,,,,
Chiller Heater System Cooling Electric Energy,Chiller Heater System Cooling Electricity Energy,,,,,,,
Chiller Heater System Heating Electric Energy,Chiller Heater System Heating Electricity Energy,,,,,,,
Chiller Heater System Cooling Electric Power,Chiller Heater System Cooling Electricity Rate,,,,,,,
Chiller Heater System Heating Electric Power,Chiller Heater System Heating Electricity Rate,,,,,,,
Chiller Heater Cooling Electric Power Unit*,Chiller Heater Cooling Electricity Rate Unit,,,,,,,
Chiller Heater Heating Electric Power Unit*,Chiller Heater Heating Electricity Rate Unit,,,,,,,
Chiller Heater Cooling Electric Energy Unit*,Chiller Heater Cooling Electricity Energy Unit,,,,,,,
Chiller Heater Heating Electric Energy Unit*,Chiller Heater Heating Electricity Energy Unit,,,,,,,
Environmental Impact Natural Gas Source Energy,Environmental Impact NaturalGas Source Energy,,,,,,,
Environmental Impact Natural Gas CO2 Emissions Mass,Environmental Impact NaturalGas CO2 Emissions Mass,,,,,,,
Environmental Impact Natural Gas CO Emissions Mass,Environmental Impact NaturalGas CO Emissions Mass,,,,,,,
Environmental Impact Natural Gas CH4 Emissions Mass,Environmental Impact NaturalGas CH4 Emissions Mass,,,,,,,
Environmental Impact Natural Gas NOx Emissions Mass,Environmental Impact NaturalGas NOx Emissions Mass,,,,,,,
Environmental Impact Natural Gas N2O Emissions Mass,Environmental Impact NaturalGas N2O Emissions Mass,,,,,,,
Environmental Impact Natural Gas SO2 Emissions Mass,Environmental Impact NaturalGas SO2 Emissions Mass,,,,,,,
Environmental Impact Natural Gas PM Emissions Mass,Environmental Impact NaturalGas PM Emissions Mass,,,,,,,
Environmental Impact Natural Gas PM10 Emissions Mass,Environmental Impact NaturalGas PM10 Emissions Mass,,,,,,,
Environmental Impact Natural Gas PM2.5 Emissions Mass,Environmental Impact NaturalGas PM2.5 Emissions Mass,,,,,,,
Environmental Impact Natural Gas NH3 Emissions Mass,Environmental Impact NaturalGas NH3 Emissions Mass,,,,,,,
Environmental Impact Natural Gas NMVOC Emissions Mass,Environmental Impact NaturalGas NMVOC Emissions Mass,,,,,,,
Environmental Impact Natural Gas Hg Emissions Mass,Environmental Impact NaturalGas Hg Emissions Mass,,,,,,,
Environmental Impact Natural Gas Pb Emissions Mass,Environmental Impact NaturalGas Pb Emissions Mass,,,,,,,
Environmental Impact Natural Gas Water Consumption Volume,Environmental Impact NaturalGas Water Consumption Volume,,,,,,,
Environmental Impact Natural Gas Nuclear High Level Waste Mass,Environmental Impact NaturalGas Nuclear High Level Waste Mass,,,,,,,
Environmental Impact Natural Gas Nuclear Low Level Waste Volume,Environmental Impact NaturalGas Nuclear Low Level Waste Volume,,,,,,,
Refrigeration Case Evaporator Fan Electric Power,Refrigeration Case Evaporator Fan Electricity Rate,,,,,,,
Refrigeration Case Evaporator Fan Electric Energy,Refrigeration Case Evaporator Fan Electricity Energy,,,,,,,
Refrigeration Case Lighting Electric Power,Refrigeration Case Lighting Electricity Rate,,,,,,,
Refrigeration Case Lighting Electric Energy,Refrigeration Case Lighting Electricity Energy,,,,,,,
Refrigeration Case Anti Sweat Electric Power,Refrigeration Case Anti Sweat Electricity Rate,,,,,,,
Refrigeration Case Anti Sweat Electric Energy,Refrigeration Case Anti Sweat Electricity Energy,,,,,,,
Refrigeration Case Defrost Electric Power,Refrigeration Case Defrost Electricity Rate,,,,,,,
Refrigeration Case Defrost Electric Energy,Refrigeration Case Defrost Electricity Energy,,,,,,,
Refrigeration Walk In Ancillary Electric Power,Refrigeration Walk In Ancillary Electricity Rate,,,,,,,
Refrigeration Walk In Ancillary Electric Energy,Refrigeration Walk In Ancillary Electricity Energy,,,,,,,
Refrigeration Walk In Fan Electric Power,Refrigeration Walk In Fan Electricity Rate,,,,,,,
Refrigeration Walk In Fan Electric Energy,Refrigeration Walk In Fan Electricity Energy,,,,,,,
Refrigeration Walk In Lighting Electric Power,Refrigeration Walk In Lighting Electricity Rate,,,,,,,
Refrigeration Walk In Lighting Electric Energy,Refrigeration Walk In Lighting Electricity Energy,,,,,,,
Refrigeration Walk In Heater Electric Power,Refrigeration Walk In Heater Electricity Rate,,,,,,,
Refrigeration Walk In Heater Electric Energy,Refrigeration Walk In Heater Electricity Energy,,,,,,,
Refrigeration Walk In Defrost Electric Power,Refrigeration Walk In Defrost Electricity Rate,,,,,,,
Refrigeration Walk In Defrost Electric Energy,Refrigeration Walk In Defrost Electricity Energy,,,,,,,
Refrigeration Zone Air Chiller Total Electric Power,Refrigeration Zone Air Chiller Total Electricity Rate,,,,,,,
Refrigeration Zone Air Chiller Total Electric Energy,Refrigeration Zone Air Chiller Total Electricity Energy,,,,,,,
Refrigeration Zone Air Chiller Fan Electric Power,Refrigeration Zone Air Chiller Fan Electricity Rate,,,,,,,
Refrigeration Zone Air Chiller Heater Electric Power,Refrigeration Zone Air Chiller Heater Electricity Rate,,,,,,,
Refrigeration Zone Air Chiller Heater Electric Energy,Refrigeration Zone Air Chiller Heater Electricity Energy,,,,,,,
Refrigeration Zone Air Chiller Defrost Electric Power,Refrigeration Zone Air Chiller Defrost Electricity Rate,,,,,,,
Refrigeration Zone Air Chiller Defrost Electric Energy,Refrigeration Zone Air Chiller Defrost Electricity Energy,,,,,,,
Refrigeration Air Chiller Secondary Loop Pump Electric Power,Refrigeration Air Chiller Secondary Loop Pump Electricity Rate,,,,,,,
Refrigeration Air Chiller Secondary Loop Pump Electric Energy,Refrigeration Air Chiller Secondary Loop Pump Electricity Energy,,,,,,,
Refrigeration Secondary Loop Pump Electric Power,Refrigeration Secondary Loop Pump Electricity Rate,,,,,,,
Refrigeration Secondary Loop Pump Electric Energy,Refrigeration Secondary Loop Pump Electricity Energy,,,,,,,
Refrigeration Air Chiller Compressor Rack Electric Power,Refrigeration Air Chiller Compressor Rack Electricity Rate,,,,,,,
Refrigeration Air Chiller Compressor Rack Electric Energy,efrigeration Air Chiller Compressor Rack Electricity Energy,,,,,,,
Refrigeration Air Chiller Compressor Rack Condenser Fan Electric Power,Refrigeration Air Chiller Compressor Rack Condenser Fan Electricity Rate,,,,,,,
Refrigeration Air Chiller Compressor Rack Condenser Fan Electric Energy,Refrigeration Air Chiller Compressor Rack Condenser Fan Electricity Energy,,,,,,,
Refrigeration Air Chiller Compressor Rack Evaporative Condenser Pump Electric Power,Refrigeration Air Chiller Compressor Rack Evaporative Condenser Pump Electricity Rate,,,,,,,
Refrigeration Air Chiller Compressor Rack Evaporative Condenser Pump Electric Energy,Refrigeration Air Chiller Compressor Rack Evaporative Condenser Pump Electricity Energy,,,,,,,
Refrigeration Air Chiller Compressor Rack Evaporative Condenser Basin Heater Electric Power,Refrigeration Air Chiller Compressor Rack Evaporative Condenser Basin Heater Electricity Rate,,,,,,,
Refrigeration Air Chiller Compressor Rack Evaporative Condenser Basin Heater Electric Energy,Refrigeration Air Chiller Compressor Rack Evaporative Condenser Basin Heater Electricity Energy,,,,,,,
Refrigeration Compressor Rack Electric Power,Refrigeration Compressor Rack Electricity Rate,,,,,,,
Refrigeration Compressor Rack Electric Energy,Refrigeration Compressor Rack Electricity Energy,,,,,,,
Refrigeration Compressor Rack Condenser Fan Electric Power,Refrigeration Compressor Rack Condenser Fan Electricity Rate,,,,,,,
Refrigeration Compressor Rack Condenser Fan Electric Energy,Refrigeration Compressor Rack Condenser Fan Electricity Energy,,,,,,,
Refrigeration Compressor Rack Evaporative Condenser Pump Electric Power,Refrigeration Compressor Rack Evaporative Condenser Pump Electricity Rate,,,,,,,
Refrigeration Compressor Rack Evaporative Condenser Pump Electric Energy,Refrigeration Compressor Rack Evaporative Condenser Pump Electricity Energy,,,,,,,
Refrigeration Compressor Rack Evaporative Condenser Basin Heater Electric Power,Refrigeration Compressor Rack Evaporative Condenser Basin Heater Electricity Rate,,,,,,,
Refrigeration Compressor Rack Evaporative Condenser Basin Heater Electric Energy,Refrigeration Compressor Rack Evaporative Condenser Basin Heater Electricity Energy,,,,,,,
Refrigeration Air Chiller System Total Compressor Electric Power,Refrigeration Air Chiller System Total Compressor Electricity Rate,,,,,,,
Refrigeration Air Chiller System Total Compressor Electric Energy,Refrigeration Air Chiller System Total Compressor Electricity Energy,,,,,,,
Refrigeration Air Chiller System Total Low Stage Compressor Electric Power,Refrigeration Air Chiller System Total Low Stage Compressor Electricity Rate,,,,,,,
Refrigeration Air Chiller System Total Low Stage Compressor Electric Energy,Refrigeration Air Chiller System Total Low Stage Compressor Electricity Energy,,,,,,,
Refrigeration Air Chiller System Total High Stage Compressor Electric Power,Refrigeration Air Chiller System Total High Stage Compressor Electricity Rate,,,,,,,
Refrigeration Air Chiller System Total High Stage Compressor Electric Energy,Refrigeration Air Chiller System Total High Stage Compressor Electricity Energy,,,,,,,
Refrigeration Air Chiller System Total Low and High Stage Compressor Electric Energy,Refrigeration Air Chiller System Total Low and High Stage Compressor Electricity Energy,,,,,,,
Refrigeration System Total Compressor Electric Power,Refrigeration System Total Compressor Electricity Rate,,,,,,,
Refrigeration System Total Compressor Electric Energy,Refrigeration System Total Compressor Electricity Energy,,,,,,,
Refrigeration System Total Low Stage Compressor Electric Power,Refrigeration System Total Low Stage Compressor Electricity Rate,,,,,,,
Refrigeration System Total Low Stage Compressor Electric Energy,Refrigeration System Total Low Stage Compressor Electricity Energy,,,,,,,
Refrigeration System Total High Stage Compressor Electric Power,Refrigeration System Total High Stage Compressor Electricity Rate,,,,,,,
Refrigeration System Total High Stage Compressor Electric Energy,Refrigeration System Total High Stage Compressor Electricity Energy,,,,,,,
Refrigeration System Total Low and High Stage Compressor Electric Energy,Refrigeration System Total Low and High Stage Compressor Electricity Energy,,,,,,,
Refrigeration Air Chiller System Compressor Electric Power,Refrigeration Air Chiller System Compressor Electricity Rate,,,,,,,
Refrigeration Air Chiller System Compressor Electric Energy,Refrigeration Air Chiller System Compressor Electricity Energy,,,,,,,
Refrigeration Compressor Electric Power,Refrigeration Compressor Electricity Rate,,,,,,,
Refrigeration Compressor Electric Energy,Refrigeration Compressor Electricity Energy,,,,,,,
Refrigeration Air Chiller System Condenser Fan Electric Power,Refrigeration Air Chiller System Condenser Fan Electricity Rate,,,,,,,
Refrigeration Air Chiller System Condenser Fan Electric Energy,Refrigeration Air Chiller System Condenser Fan Electricity Energy,,,,,,,
Refrigeration Air Chiller System Condenser Fan Electric Power,Refrigeration Air Chiller System Condenser Fan Electricity Rate,,,,,,,
Refrigeration Air Chiller System Condenser Fan Electric Energy,Refrigeration Air Chiller System Condenser Fan Electricity Energy,,,,,,,
Refrigeration Air Chiller System Condenser Pump Electric Power,Refrigeration Air Chiller System Condenser Pump Electricity Rate,,,,,,,
Refrigeration Air Chiller System Condenser Pump Electric Energy,Refrigeration Air Chiller System Condenser Pump Electricity Energy,,,,,,,
Refrigeration Air Chiller System Condenser Basin Heater Electric Power,Refrigeration Air Chiller System Condenser Basin Heater Electricity Rate,,,,,,,
Refrigeration Air Chiller System Condenser Basin Heater Electric Energy,Refrigeration Air Chiller System Condenser Basin Heater Electricity Energy,,,,,,,
Refrigeration System Condenser Fan Electric Power,Refrigeration System Condenser Fan Electricity Rate,,,,,,,
Refrigeration System Condenser Fan Electric Energy,Refrigeration System Condenser Fan Electricity Energy,,,,,,,
Refrigeration System Condenser Fan Electric Power,Refrigeration System Condenser Fan Electricity Rat,,,,,,,
Refrigeration System Condenser Fan Electric Energy,Refrigeration System Condenser Fan Electricity Energy,,,,,,,
Refrigeration System Condenser Pump Electric Power,Refrigeration System Condenser Pump Electricity Rate,,,,,,,
Refrigeration System Condenser Pump Electric Energy,Refrigeration System Condenser Pump Electricity Energy,,,,,,,
Refrigeration System Condenser Basin Heater Electric Power,Refrigeration System Condenser Basin Heater Electricity Rate,,,,,,,
Refrigeration System Condenser Basin Heater Electric Energy,Refrigeration System Condenser Basin Heater Electricity Energy,,,,,,,
Refrigeration Transcritical System Total High Pressure Compressor Electric Power,Refrigeration Transcritical System Total High Pressure Compressor Electricity Rate,,,,,,,
Refrigeration Transcritical System Total High Pressure Compressor Electric Energy,Refrigeration Transcritical System Total High Pressure Compressor Electricity Energy,,,,,,,
Refrigeration Transcritical System Total Compressor Electric Energy,Refrigeration Transcritical System Total Compressor Electricity Energy,,,,,,,
Refrigeration Transcritical System Low Pressure Compressor Electric Power,Refrigeration Transcritical System Low Pressure Compressor Electricity Rate,,,,,,,
Refrigeration Transcritical System Low Pressure Compressor Electric Energy,Refrigeration Transcritical System Low Pressure Compressor Electricity Energy,,,,,,,
Refrigeration Compressor Electric Power,Refrigeration Compressor Electricity Rate,,,,,,,
Refrigeration Compressor Electric Energy,Refrigeration Compressor Electricity Energy,,,,,,,
Refrigeration Compressor Electric Power,Refrigeration Compressor Electricity Rate,,,,,,,
Refrigeration Compressor Electric Energy,Refrigeration Compressor Electricity Energy,,,,,,,
Refrigeration Transcritical System Gas Cooler Fan Electric Power,Refrigeration Transcritical System Gas Cooler Fan Electricity Rate,,,,,,,
Refrigeration Transcritical System Gas Cooler Fan Electric Energy,Refrigeration Transcritical System Gas Cooler Fan Electricity Energy,,,,,,,
Air System Humidifier Electric Energy,Air System Humidifier Electricity Energy,,,,,,,
Zone Unit Heater Fan Electric Power,Zone Unit Heater Fan Electricity Rate,,,,,,,
Zone Unit Heater Fan Electric Energy,Zone Unit Heater Fan Electricity Energy,,,,,,,
Zone Unit Ventilator Fan Electric Power,Zone Unit Ventilator Fan Electricity Rate,,,,,,,
Zone Unit Ventilator Fan Electric Energy,Zone Unit Ventilator Fan Electricity Energy,,,,,,,
Heating Coil Defrost Electric Energy,Heating Coil Defrost Electricity Energy,,,,,,,
Cooling Coil Water Heating Pump Electric Power,Cooling Coil Water Heating Pump Electricity Rate,,,,,,,
Cooling Coil Water Heating Pump Electric Energy,Cooling Coil Water Heating Pump Electricity Energy,,,,,,,
Zone Ventilated Slab Fan Electric Power,Zone Ventilated Slab Fan Electricity Rate,,,,,,,
Zone Ventilated Slab Fan Electric Energy,one Ventilated Slab Fan Electricity Energy,,,,,,,
Water System Groundwater Well Pump Electric Power,Water System Groundwater Well Pump Electricity Rate,,,,,,,
Water System Groundwater Well Pump Electric Energy,Water System Groundwater Well Pump Electricity Energy,,,,,,,
Water Heater Electric Power,Water Heater Electricity Rate,,,,,,,
Water Heater Electric Energy,Water Heater Electricity Energy,,,,,,,
Water Heater Off Cycle Parasitic Electric Power,Water Heater Off Cycle Parasitic Electricity Rate,,,,,,,
Water Heater Off Cycle Parasitic Electric Energy,Water Heater Off Cycle Parasitic Electricity Energy,,,,,,,
Water Heater On Cycle Parasitic Electric Power,Water Heater On Cycle Parasitic Electricity Rate,,,,,,,
Water Heater On Cycle Parasitic Electric Energy,Water Heater On Cycle Parasitic Electricity Energy,,,,,,,
Water Heater Off Cycle Ancillary Electric Power,Water Heater Off Cycle Ancillary Electricity Rate,,,,,,,
Water Heater Off Cycle Ancillary Electric Energy,Water Heater Off Cycle Ancillary Electricity Energy,,,,,,,
Water Heater On Cycle Ancillary Electric Power,Water Heater On Cycle Ancillary Electricity Rate,,,,,,,
Water Heater On Cycle Ancillary Electric Energy,Water Heater On Cycle Ancillary Electricity Energy,,,,,,,
Water Heater Gas Rate,Water Heater NaturalGas Rate,,,,,,,
Water Heater Gas Energy,Water Heater NaturalGas Energy,,,,,,,
Water Heater Off Cycle Parasitic Gas Rate,Water Heater Off Cycle Parasitic NaturalGas Rate,,,,,,,
Water Heater Off Cycle Parasitic Gas Energy,Water Heater Off Cycle Parasitic NaturalGas Energy,,,,,,,
Water Heater On Cycle Parasitic Gas Rate,Water Heater On Cycle Parasitic NaturalGas Rate,,,,,,,
Water Heater On Cycle Parasitic Gas Energy,Water Heater On Cycle Parasitic NaturalGas Energy,,,,,,,
Water Heater Off Cycle Ancillary Gas Rate,Water Heater Off Cycle Ancillary NaturalGas Rate,,,,,,,
Water Heater Off Cycle Ancillary Gas Energy,Water Heater Off Cycle Ancillary NaturalGas Energy,,,,,,,
Water Heater On Cycle Ancillary Gas Rate,Water Heater On Cycle Ancillary NaturalGas Rate,,,,,,,
Water Heater On Cycle Ancillary Gas Energy,Water Heater On Cycle Ancillary NaturalGas Energy,,,,,,,
Water Heater FuelOil#1 Rate,Water Heater FuelOilNo1 Rate,,,,,,,
Water Heater FuelOil#1 Energy,Water Heater FuelOilNo1 Energy,,,,,,,
Water Heater Off Cycle Parasitic FuelOil#1 Rate,Water Heater Off Cycle Parasitic FuelOilNo1 Rate,,,,,,,
Water Heater Off Cycle Parasitic FuelOil#1 Energy,Water Heater Off Cycle Parasitic FuelOilNo1 Energy,,,,,,,
Water Heater On Cycle Parasitic FuelOil#1 Rate,Water Heater On Cycle Parasitic FuelOilNo1 Rate,,,,,,,
Water Heater On Cycle Parasitic FuelOil#1 Energy,Water Heater On Cycle Parasitic FuelOilNo1 Energy,,,,,,,
Water Heater Off Cycle Ancillary FuelOil#1 Rate,Water Heater Off Cycle Ancillary FuelOilNo1 Rate,,,,,,,
Water Heater Off Cycle Ancillary FuelOil#1 Energy,Water Heater Off Cycle Ancillary FuelOilNo1 Energy,,,,,,,
Water Heater On Cycle Ancillary FuelOil#1 Rate,Water Heater On Cycle Ancillary FuelOilNo1 Rate,,,,,,,
Water Heater On Cycle Ancillary FuelOil#1 Energy,Water Heater On Cycle Ancillary FuelOilNo1 Energy,,,,,,,
Water Heater FuelOil#2 Rate,Water Heater FuelOilNo2 Rate,,,,,,,
Water Heater FuelOil#2 Energy,Water Heater FuelOilNo2 Energy,,,,,,,
Water Heater Off Cycle Parasitic FuelOil#2 Rate,Water Heater Off Cycle Parasitic FuelOilNo2 Rate,,,,,,,
Water Heater Off Cycle Parasitic FuelOil#2 Energy,Water Heater Off Cycle Parasitic FuelOilNo2 Energy,,,,,,,
Water Heater On Cycle Parasitic FuelOil#2 Rate,Water Heater On Cycle Parasitic FuelOilNo2 Rate,,,,,,,
Water Heater On Cycle Parasitic FuelOil#2 Energy,Water Heater On Cycle Parasitic FuelOilNo2 Energy,,,,,,,
Water Heater Off Cycle Ancillary FuelOil#2 Rate,Water Heater Off Cycle Ancillary FuelOilNo2 Rate,,,,,,,
Water Heater Off Cycle Ancillary FuelOil#2 Energy,Water Heater Off Cycle Ancillary FuelOilNo2 Energy,,,,,,,
Water Heater On Cycle Ancillary FuelOil#2 Rate,Water Heater On Cycle Ancillary FuelOilNo2 Rate,,,,,,,
Water Heater On Cycle Ancillary FuelOil#2 Energy,Water Heater On Cycle Ancillary FuelOilNo2 Energy,,,,,,,
Water Heater Pump Electric Power,Water Heater Pump Electricity Rate,,,,,,,
Water Heater Pump Electric Energy,Water Heater Pump Electricity Energy,,,,,,,
Zone Dehumidifier Electric Power,Zone Dehumidifier Electricity Rate,,,,,,,
Zone Dehumidifier Electric Energy,Zone Dehumidifier Electricity Energy,,,,,,,
Zone Dehumidifier Off Cycle Parasitic Electric Power,Zone Dehumidifier Off Cycle Parasitic Electricity Rate,,,,,,,
Zone Dehumidifier Off Cycle Parasitic Electric Energy,Zone Dehumidifier Off Cycle Parasitic Electricity Energy,,,,,,,
Chiller Gas Rate,Chiller NaturalGas Rate,,,,,,,
Chiller Gas Energy,Chiller NaturalGas Energy,,,,,,,
Chiller Gas Mass Flow Rate,Chiller NaturalGas Mass Flow Rate,,,,,,,
Boiler Gas Rate,Boiler NaturalGas Rate,,,,,,,
Boiler Gas Energy,Boiler NaturalGas Energy,,,,,,,
Cooling Coil Gas Rate,Cooling Coil NaturalGas Rate,,,,,,,
Cooling Coil Gas Energy,Cooling Coil NaturalGas Energy,,,,,,,
Generator Gas Rate,Generator NaturalGas Rate,,,,,,,
Generator Gas Energy,Generator NaturalGas Energy,,,,,,,
Generator Gas Mass Flow Rate,Generator NaturalGas Mass Flow Rate,,,,,,,
Generator Gas HHV Basis Rate,Generator NaturalGas HHV Basis Rate,,,,,,,
Generator Gas HHV Basis Energy,Generator NaturalGas HHV Basis Energy,,,,,,,
Chiller Heater Gas Rate,Chiller Heater NaturalGas Rate,,,,,,,
Chiller Heater Gas Energy,Chiller Heater NaturalGas Energy,,,,,,,
Chiller Heater FuelOil#1 Rate,Chiller Heater FuelOilNo1 Rate,,,,,,,
Chiller Heater FuelOil#1 Energy,Chiller Heater FuelOilNo1 Energy,,,,,,,
Chiller Heater FuelOil#2 Rate,Chiller Heater FuelOilNo2 Rate,,,,,,,
Chiller Heater FuelOil#2 Energy,Chiller Heater FuelOilNo2 Energy,,,,,,,
Heating Coil FuelOil#1 Energy,Heating Coil FuelOilNo1 Energy,,,,,,,
Heating Coil FuelOil#2 Rate,Heating Coil FuelOilNo2 Rate,,,,,,,
Heating Coil FuelOil#1 Energy,Heating Coil FuelOilNo1 Energy,,,,,,,
Heating Coil FuelOil#2 Rate,Heating Coil FuelOilNo2 Rate,,,,,,,
old variable name,new variable name -- <DELETE> to delete,add variable names (before this line) and leave off units -- text in this column will add a warning,,,,,,
